review,sentiment
I love this movie,positive
This product is amazing,positive
Excellent service and friendly staff,positive
I am very happy with my purchase,positive
Absolutely fantastic experience,positive
The food was delicious,positive
Highly recommended,positive
Very satisfied with the quality,positive
This is the best purchase I have made,positive
I enjoyed every moment,positive
Worst experience ever,negative
This movie was boring,negative
I hate this product,negative
Terrible customer support,negative
Very disappointing quality,negative
The food was awful,negative
I will never buy this again,negative
Waste of money,negative
Extremely poor service,negative
Not worth it,negative
